time,shoulder_pan_joint_pos,shoulder_pan_joint_vel,shoulder_pan_joint_eff,shoulder_lift_joint_pos,shoulder_lift_joint_vel,shoulder_lift_joint_eff,elbow_joint_pos,elbow_joint_vel,elbow_joint_eff,wrist_1_joint_pos,wrist_1_joint_vel,wrist_1_joint_eff,wrist_2_joint_pos,wrist_2_joint_vel,wrist_2_joint_eff,wrist_3_joint_pos,wrist_3_joint_vel,wrist_3_joint_eff
0.0,8.686590189377341e-05,0.004220307538242168,0.0,-1.5707159732831917,-0.01597338132468887,0.0,3.5336069172942075e-06,0.0033891300616528423,0.0,9.267988254935133e-05,0.09269020357661148,0.0,-1.938324555439408e-05,-0.02036713080552464,0.0,-9.345499280666303e-05,-0.09345520328435288,0.0
0.010165943,8.686590189466159e-05,0.004220307538219163,0.0,-1.5707159732831935,-0.015973381324792,0.0,3.5336069172942075e-06,0.0033891300616989235,0.0,9.267988255112769e-05,0.09269020357745206,0.0,-1.938324555439408e-05,-0.020367130806206325,0.0,-9.345499280843939e-05,-0.09345520328526002,0.0
0.020122229,8.686590189377341e-05,0.004220307538309278,0.0,-1.5707159732831935,-0.01597338132475963,0.0,3.5336069172942075e-06,0.0033891300617380025,0.0,9.267988255023951e-05,0.09269020357659434,0.0,-1.938324555439408e-05,-0.02036713080562916,0.0,-9.345499280666303e-05,-0.093455203284364,0.0
0.030077242,8.686590189466159e-05,0.0042203075381951885,0.0,-1.5707159732831935,-0.01597338132481405,0.0,3.5336069190705643e-06,0.003389130061658802,0.0,9.267988255023951e-05,0.09269020357719833,0.0,-1.938324555439408e-05,-0.020367130805575687,0.0,-9.345499280755121e-05,-0.09345520328481326,0.0
0.040152838,8.686590189466159e-05,0.004220307538284325,0.0,-1.5707159732831917,-0.015973381324761116,0.0,3.5336069172942075e-06,0.0033891300616741065,0.0,9.267988255023951e-05,0.09269020357737272,0.0,-1.938324555439408e-05,-0.02036713080619732,0.0,-9.345499280932756e-05,-0.09345520328530753,0.0
0.050091371,8.686590189377341e-05,0.004220307538204381,0.0,-1.5707159732831935,-0.015973381324771642,0.0,3.533606918182386e-06,0.0033891300616886,0.0,9.267988254935133e-05,0.09269020357598581,0.0,-1.9383245555282258e-05,-0.02036713080619376,0.0,-9.345499280755121e-05,-0.09345520328372522,0.0
0.059988678,8.686590189466159e-05,0.0042203075382025515,0.0,-1.5707159732831926,-0.015973381324782723,0.0,3.5336069172942075e-06,0.00338913006167812,0.0,9.267988254935133e-05,0.09269020357588621,0.0,-1.938324555439408e-05,-0.020367130806054026,0.0,-9.345499280666303e-05,-0.0934552032837205,0.0
0.069962265,8.686590189466159e-05,0.004220307538262271,0.0,-1.5707159732831926,-0.01597338132475068,0.0,3.5336069172942075e-06,0.0033891300616702555,0.0,9.267988255023951e-05,0.0926902035775376,0.0,-1.93832455535059e-05,-0.020367130806355684,0.0,-9.345499280666303e-05,-0.09345520328528908,0.0
0.07999407,8.686590189466159e-05,0.004220307538309851,0.0,-1.5707159732831917,-0.01597338132479419,0.0,3.5336069190705643e-06,0.003389130061679231,0.0,9.267988255023951e-05,0.09269020357696092,0.0,-1.9383245555282258e-05,-0.020367130806414478,0.0,-9.345499280666303e-05,-0.09345520328478925,0.0
0.089997974,8.686590189377341e-05,0.004220307538274973,0.0,-1.5707159732831935,-0.015973381324853906,0.0,3.533606918182386e-06,0.003389130061841641,0.0,9.267988255023951e-05,0.09269020357720319,0.0,-1.9383245555282258e-05,-0.020367130806128148,0.0,-9.345499280755121e-05,-0.09345520328505093,0.0
0.100128912,8.686590189377341e-05,0.004220307538278432,0.0,-1.5707159732831943,-0.015973381324828867,0.0,3.5336069199587428e-06,0.003389130061694022,0.0,9.267988255023951e-05,0.09269020357684926,0.0,-1.9383245552617723e-05,-0.020367130806320955,0.0,-9.345499280843939e-05,-0.09345520328462287,0.0
0.10996748,8.686590189466159e-05,0.004220307538198745,0.0,-1.5707159732831926,-0.015973381324821057,0.0,3.5336069172942075e-06,0.0033891300617966205,0.0,9.267988254935133e-05,0.09269020357676863,0.0,-1.9383245556170436e-05,-0.020367130805768404,0.0,-9.345499280755121e-05,-0.0934552032848291,0.0
0.120026015,8.686590189466159e-05,0.004220307538271542,0.0,-1.5707159732831926,-0.0159733813247828,0.0,3.5336069172942075e-06,0.0033891300617396175,0.0,9.267988255112769e-05,0.0926902035772548,0.0,-1.93832455535059e-05,-0.020367130805998855,0.0,-9.345499280755121e-05,-0.09345520328505234,0.0
0.130073489,8.686590189466159e-05,0.004220307538229181,0.0,-1.5707159732831935,-0.01597338132477948,0.0,3.5336069190705643e-06,0.0033891300617549065,0.0,9.267988255023951e-05,0.09269020357693017,0.0,-1.938324555439408e-05,-0.02036713080598713,0.0,-9.345499280932756e-05,-0.09345520328483052,0.0
0.139950468,8.686590189377341e-05,0.004220307538208267,0.0,-1.5707159732831926,-0.015973381324843067,0.0,3.5336069172942075e-06,0.0033891300617629357,0.0,9.267988255023951e-05,0.09269020357650776,0.0,-1.93832455535059e-05,-0.020367130805644288,0.0,-9.345499280577485e-05,-0.09345520328411078,0.0
0.15004561,8.686590189466159e-05,0.004220307538255823,0.0,-1.5707159732831935,-0.015973381324846013,0.0,3.533606918182386e-06,0.003389130061788612,0.0,9.267988255023951e-05,0.09269020357693757,0.0,-1.9383245556170436e-05,-0.02036713080599164,0.0,-9.345499280666303e-05,-0.09345520328472373,0.0
0.160003959,8.686590189377341e-05,0.004220307538222907,0.0,-1.5707159732831926,-0.01597338132481982,0.0,3.5336069172942075e-06,0.003389130061806557,0.0,9.267988255023951e-05,0.0926902035771408,0.0,-1.93832455535059e-05,-0.02036713080599902,0.0,-9.345499281021574e-05,-0.09345520328518873,0.0
0.170042206,8.686590189377341e-05,0.004220307538206491,0.0,-1.5707159732831926,-0.015973381324743997,0.0,3.5336069172942075e-06,0.0033891300617757327,0.0,9.267988254935133e-05,0.09269020357581137,0.0,-1.9383245556170436e-05,-0.020367130805772227,0.0,-9.345499280666303e-05,-0.09345520328347191,0.0
0.179933131,8.686590189466159e-05,0.004220307538230262,0.0,-1.5707159732831917,-0.015973381324770882,0.0,3.5336069172942075e-06,0.0033891300618377725,0.0,9.267988255023951e-05,0.09269020357636898,0.0,-1.93832455535059e-05,-0.0203671308056368,0.0,-9.345499280843939e-05,-0.09345520328433518,0.0
0.189919843,8.686590189466159e-05,0.004220307538259045,0.0,-1.5707159732831926,-0.015973381324711895,0.0,3.533606918182386e-06,0.003389130061667742,0.0,9.267988254935133e-05,0.0926902035760404,0.0,-1.93832455535059e-05,-0.0203671308057003,0.0,-9.345499280577485e-05,-0.09345520328386385,0.0
0.200019363,8.686590189466159e-05,0.004220307538168842,0.0,-1.5707159732831926,-0.015973381324751096,0.0,3.5336069172942075e-06,0.0033891300616615775,0.0,9.267988255023951e-05,0.09269020357684876,0.0,-1.9383245556170436e-05,-0.02036713080583085,0.0,-9.345499281021574e-05,-0.09345520328467039,0.0
0.2098898,8.686590189466159e-05,0.004220307538285448,0.0,-1.5707159732831926,-0.015973381324758236,0.0,3.533606918182386e-06,0.0033891300616726424,0.0,9.267988255023951e-05,0.09269020357709078,0.0,-1.938324555439408e-05,-0.020367130805909902,0.0,-9.345499280843939e-05,-0.09345520328511267,0.0
0.219899544,8.686590189377341e-05,0.004220307538257196,0.0,-1.5707159732831926,-0.015973381324796247,0.0,3.533606918182386e-06,0.003389130061694421,0.0,9.267988255112769e-05,0.0926902035768632,0.0,-1.938324555439408e-05,-0.020367130806189113,0.0,-9.345499280666303e-05,-0.09345520328463097,0.0
0.229908728,8.686590189466159e-05,0.004220307538262734,0.0,-1.5707159732831917,-0.015973381324815666,0.0,3.533606918182386e-06,0.0033891300617217386,0.0,9.267988254935133e-05,0.09269020357613424,0.0,-1.93832455535059e-05,-0.020367130806127627,0.0,-9.345499280666303e-05,-0.09345520328385186,0.0
0.239907942,8.686590189377341e-05,0.004220307538266616,0.0,-1.5707159732831926,-0.01597338132478186,0.0,3.5336069172942075e-06,0.003389130061672756,0.0,9.267988255023951e-05,0.09269020357635077,0.0,-1.9383245555282258e-05,-0.020367130806030295,0.0,-9.345499280843939e-05,-0.09345520328409535,0.0
0.250635572,8.686590189466159e-05,0.004220307538198713,0.0,-1.5707159732831926,-0.015973381324796348,0.0,3.5336069172942075e-06,0.0033891300617659575,0.0,9.267988255112769e-05,0.09269020357756877,0.0,-1.9383245556170436e-05,-0.020367130806248242,0.0,-9.345499281110392e-05,-0.09345520328536414,0.0
0.259839879,8.686590189377341e-05,0.004220307538234739,0.0,-1.5707159732831917,-0.015973381324771337,0.0,3.5336069172942075e-06,0.0033891300617111264,0.0,9.267988255023951e-05,0.09269020357700207,0.0,-1.938324555439408e-05,-0.020367130805867027,0.0,-9.345499280755121e-05,-0.0934552032846321,0.0
0.269948767,8.686590189466159e-05,0.004220307538272548,0.0,-1.5707159732831935,-0.015973381324772468,0.0,3.5336069172942075e-06,0.0033891300617110874,0.0,9.267988255023951e-05,0.09269020357667122,0.0,-1.9383245556170436e-05,-0.020367130805906186,0.0,-9.345499280843939e-05,-0.09345520328462446,0.0
0.280094582,8.686590189466159e-05,0.0042203075382966455,0.0,-1.5707159732831926,-0.01597338132478995,0.0,3.533606918182386e-06,0.0033891300618008923,0.0,9.267988254935133e-05,0.09269020357634122,0.0,-1.9383245556170436e-05,-0.020367130805816053,0.0,-9.345499280843939e-05,-0.09345520328418759,0.0
0.289940244,8.686590189466159e-05,0.004220307538214534,0.0,-1.5707159732831917,-0.01597338132473232,0.0,3.5336069172942075e-06,0.003389130061712567,0.0,9.267988255023951e-05,0.092690203577046,0.0,-1.93832455535059e-05,-0.020367130805317202,0.0,-9.345499281021574e-05,-0.09345520328484828,0.0
0.300079076,8.686590189377341e-05,0.004220307538273925,0.0,-1.5707159732831926,-0.01597338132477098,0.0,3.533606918182386e-06,0.0033891300617023513,0.0,9.267988255023951e-05,0.09269020357690869,0.0,-1.9383245555282258e-05,-0.020367130805572477,0.0,-9.345499281021574e-05,-0.09345520328476699,0.0
0.310052103,8.686590189466159e-05,0.004220307538272396,0.0,-1.5707159732831926,-0.01597338132473124,0.0,3.5336069172942075e-06,0.0033891300616104023,0.0,9.267988255023951e-05,0.09269020357722615,0.0,-1.9383245555282258e-05,-0.020367130806050834,0.0,-9.345499281021574e-05,-0.09345520328483924,0.0
0.320191046,8.686590189377341e-05,0.0042203075381799715,0.0,-1.5707159732831926,-0.015973381324811013,0.0,3.5336069190705643e-06,0.003389130061700705,0.0,9.267988254935133e-05,0.09269020357668045,0.0,-1.9383245555282258e-05,-0.02036713080532345,0.0,-9.345499281021574e-05,-0.09345520328425225,0.0
0.33004374,8.686590189377341e-05,0.004220307538220599,0.0,-1.5707159732831926,-0.015973381324789038,0.0,3.5336069172942075e-06,0.0033891300618114862,0.0,9.267988254935133e-05,0.09269020357629568,0.0,-1.9383245555282258e-05,-0.020367130805515183,0.0,-9.345499280666303e-05,-0.09345520328437072,0.0
