time,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos
0.0,8.686590189377341e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988254935133e-05,-1.938324555439408e-05,-9.345499280666303e-05
0.010165943,8.686590189466159e-05,-1.5707159732831935,3.5336069172942075e-06,9.267988255112769e-05,-1.938324555439408e-05,-9.345499280843939e-05
0.020122229,8.686590189377341e-05,-1.5707159732831935,3.5336069172942075e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280666303e-05
0.030077242,8.686590189466159e-05,-1.5707159732831935,3.5336069190705643e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280755121e-05
0.040152838,8.686590189466159e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280932756e-05
0.050091371,8.686590189377341e-05,-1.5707159732831935,3.533606918182386e-06,9.267988254935133e-05,-1.9383245555282258e-05,-9.345499280755121e-05
0.059988678,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.938324555439408e-05,-9.345499280666303e-05
0.069962265,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499280666303e-05
0.07999407,8.686590189466159e-05,-1.5707159732831917,3.5336069190705643e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499280666303e-05
0.089997974,8.686590189377341e-05,-1.5707159732831935,3.533606918182386e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499280755121e-05
0.100128912,8.686590189377341e-05,-1.5707159732831943,3.5336069199587428e-06,9.267988255023951e-05,-1.9383245552617723e-05,-9.345499280843939e-05
0.10996748,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.9383245556170436e-05,-9.345499280755121e-05
0.120026015,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255112769e-05,-1.93832455535059e-05,-9.345499280755121e-05
0.130073489,8.686590189466159e-05,-1.5707159732831935,3.5336069190705643e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280932756e-05
0.139950468,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499280577485e-05
0.15004561,8.686590189466159e-05,-1.5707159732831935,3.533606918182386e-06,9.267988255023951e-05,-1.9383245556170436e-05,-9.345499280666303e-05
0.160003959,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499281021574e-05
0.170042206,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.9383245556170436e-05,-9.345499280666303e-05
0.179933131,8.686590189466159e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499280843939e-05
0.189919843,8.686590189466159e-05,-1.5707159732831926,3.533606918182386e-06,9.267988254935133e-05,-1.93832455535059e-05,-9.345499280577485e-05
0.200019363,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.9383245556170436e-05,-9.345499281021574e-05
0.2098898,8.686590189466159e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280843939e-05
0.219899544,8.686590189377341e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255112769e-05,-1.938324555439408e-05,-9.345499280666303e-05
0.229908728,8.686590189466159e-05,-1.5707159732831917,3.533606918182386e-06,9.267988254935133e-05,-1.93832455535059e-05,-9.345499280666303e-05
0.239907942,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499280843939e-05
0.250635572,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255112769e-05,-1.9383245556170436e-05,-9.345499281110392e-05
0.259839879,8.686590189377341e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280755121e-05
0.269948767,8.686590189466159e-05,-1.5707159732831935,3.5336069172942075e-06,9.267988255023951e-05,-1.9383245556170436e-05,-9.345499280843939e-05
0.280094582,8.686590189466159e-05,-1.5707159732831926,3.533606918182386e-06,9.267988254935133e-05,-1.9383245556170436e-05,-9.345499280843939e-05
0.289940244,8.686590189466159e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499281021574e-05
0.300079076,8.686590189377341e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499281021574e-05
0.310052103,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499281021574e-05
0.320191046,8.686590189377341e-05,-1.5707159732831926,3.5336069190705643e-06,9.267988254935133e-05,-1.9383245555282258e-05,-9.345499281021574e-05
0.33004374,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.9383245555282258e-05,-9.345499280666303e-05
0.34007826,8.686590189466159e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280755121e-05
0.350179003,8.686590189377341e-05,-1.5707159732831952,3.5336069190705643e-06,9.267988254935133e-05,-1.9383245555282258e-05,-9.345499280755121e-05
0.360013664,8.686590189377341e-05,-1.5707159732831926,3.533606918182386e-06,9.267988254935133e-05,-1.93832455535059e-05,-9.345499280843939e-05
0.370038566,8.686590189466159e-05,-1.5707159732831935,3.5336069190705643e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280932756e-05
0.379991305,8.686590189377341e-05,-1.5707159732831943,3.533606918182386e-06,9.267988255023951e-05,-1.9383245556170436e-05,-9.345499280843939e-05
0.390161526,8.686590189466159e-05,-1.5707159732831935,3.5336069190705643e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499281021574e-05
0.400081855,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255112769e-05,-1.938324555439408e-05,-9.345499281021574e-05
0.410313609,8.686590189377341e-05,-1.5707159732831926,3.5336069190705643e-06,9.267988255112769e-05,-1.93832455535059e-05,-9.345499281021574e-05
0.420003082,8.686590189377341e-05,-1.5707159732831935,3.533606918182386e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280932756e-05
0.430063891,8.686590189466159e-05,-1.5707159732831926,3.533606918182386e-06,9.267988254935133e-05,-1.93832455535059e-05,-9.345499280666303e-05
0.440086569,8.686590189377341e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499280932756e-05
0.450118835,8.686590189466159e-05,-1.5707159732831935,3.5336069190705643e-06,9.267988255112769e-05,-1.938324555439408e-05,-9.345499280843939e-05
0.460238903,8.686590189466159e-05,-1.5707159732831935,3.5336069190705643e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499280843939e-05
0.470019734,8.686590189377341e-05,-1.5707159732831943,3.5336069190705643e-06,9.267988255023951e-05,-1.9383245557058615e-05,-9.345499280843939e-05
0.480049716,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.938324555439408e-05,-9.345499280666303e-05
0.490169433,8.686590189377341e-05,-1.5707159732831917,3.533606918182386e-06,9.267988254935133e-05,-1.938324555439408e-05,-9.345499281021574e-05
0.500136188,8.686590189466159e-05,-1.5707159732831935,3.533606918182386e-06,9.267988255112769e-05,-1.9383245555282258e-05,-9.345499280932756e-05
0.510130955,8.686590189377341e-05,-1.5707159732831935,3.533606918182386e-06,9.267988254935133e-05,-1.938324555439408e-05,-9.345499280666303e-05
0.520208535,8.686590189466159e-05,-1.5707159732831917,3.5336069199587428e-06,9.267988255112769e-05,-1.93832455535059e-05,-9.345499280932756e-05
0.53016468,8.686590189377341e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280843939e-05
0.540130944,8.686590189377341e-05,-1.5707159732831917,3.5336069199587428e-06,9.267988254935133e-05,-1.93832455535059e-05,-9.345499280755121e-05
0.550165674,8.686590189466159e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.938324555439408e-05,-9.345499280755121e-05
0.560083419,8.686590189377341e-05,-1.5707159732831917,3.533606918182386e-06,9.267988254935133e-05,-1.938324555439408e-05,-9.345499280666303e-05
0.570122397,8.686590189377341e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280932756e-05
0.580073774,8.686590189466159e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988255112769e-05,-1.9383245555282258e-05,-9.345499280843939e-05
0.590180156,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.93832455535059e-05,-9.345499280666303e-05
0.600290607,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499280932756e-05
0.610145695,8.686590189466159e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255112769e-05,-1.938324555439408e-05,-9.345499281110392e-05
0.620153666,8.686590189377341e-05,-1.5707159732831935,3.5336069172942075e-06,9.267988255112769e-05,-1.9383245552617723e-05,-9.345499281021574e-05
0.630191633,8.686590189377341e-05,-1.5707159732831917,3.5336069190705643e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499280932756e-05
0.640207949,8.686590189466159e-05,-1.5707159732831926,3.5336069199587428e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280843939e-05
0.650532064,8.686590189377341e-05,-1.5707159732831926,3.5336069190705643e-06,9.267988255023951e-05,-1.938324555439408e-05,-9.345499280932756e-05
0.660236675,8.686590189466159e-05,-1.5707159732831943,3.5336069190705643e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499280843939e-05
0.670200855,8.686590189377341e-05,-1.5707159732831917,3.5336069172942075e-06,9.267988255023951e-05,-1.93832455535059e-05,-9.345499280755121e-05
0.680220808,8.686590189466159e-05,-1.5707159732831926,3.533606918182386e-06,9.267988255023951e-05,-1.9383245555282258e-05,-9.345499280666303e-05
0.690228759,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988254935133e-05,-1.9383245557058615e-05,-9.345499280666303e-05
0.700229367,8.686590189377341e-05,-1.5707159732831926,3.5336069172942075e-06,9.267988255023951e-05,-1.9383245552617723e-05,-9.345499280755121e-05
