time,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos
0.0,-8.069630422236074e-05,-1.570682995779622,-3.735183686792709e-06,8.007325254499875e-05,-1.2243856902571792e-05,-7.927459272094595e-05
0.009975056,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856902571792e-05,-7.927459272361048e-05
0.020043586,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856901683614e-05,-7.92745927227223e-05
0.030004877,-8.069630422147256e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856903459971e-05,-7.92745927227223e-05
0.039969595,-8.069630422236074e-05,-1.5706829957796238,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856901683614e-05,-7.927459272005777e-05
0.050116119,-8.06963042241371e-05,-1.570682995779623,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856902571792e-05,-7.927459272094595e-05
0.059932581,-8.069630422236074e-05,-1.570682995779623,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856901683614e-05,-7.927459272094595e-05
0.069998226,-8.069630422236074e-05,-1.570682995779623,-3.7351836894572443e-06,8.007325254588693e-05,-1.2243856901683614e-05,-7.927459272005777e-05
0.079983121,-8.069630422236074e-05,-1.570682995779622,-3.735183688569066e-06,8.007325254588693e-05,-1.2243856902571792e-05,-7.927459272005777e-05
0.089995717,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254766329e-05,-1.2243856902571792e-05,-7.927459272183413e-05
0.099985661,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254766329e-05,-1.2243856902571792e-05,-7.92745927227223e-05
0.110085318,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856902571792e-05,-7.927459272094595e-05
0.11995529,-8.069630422147256e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856902571792e-05,-7.927459272183413e-05
0.130032766,-8.069630422236074e-05,-1.570682995779623,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856902571792e-05,-7.92745927227223e-05
0.139977186,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856901683614e-05,-7.927459272005777e-05
0.149938297,-8.069630422236074e-05,-1.5706829957796211,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856901683614e-05,-7.927459272183413e-05
0.159946364,-8.069630422236074e-05,-1.570682995779623,-3.735183688569066e-06,8.007325254588693e-05,-1.2243856901683614e-05,-7.927459272005777e-05
0.170003613,-8.069630422236074e-05,-1.570682995779622,-3.735183688569066e-06,8.007325254588693e-05,-1.2243856903459971e-05,-7.927459272183413e-05
0.179958533,-8.069630422236074e-05,-1.570682995779623,-3.7351836876808875e-06,8.007325254588693e-05,-1.2243856903459971e-05,-7.927459272183413e-05
0.189999131,-8.069630422147256e-05,-1.570682995779622,-3.7351836876808875e-06,8.007325254677511e-05,-1.2243856902571792e-05,-7.927459272361048e-05
0.200018549,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254677511e-05,-1.224385690434815e-05,-7.927459272183413e-05
0.209955856,-8.069630422236074e-05,-1.570682995779622,-3.735183688569066e-06,8.007325254588693e-05,-1.224385690434815e-05,-7.927459272361048e-05
0.220046016,-8.069630422236074e-05,-1.570682995779623,-3.7351836894572443e-06,8.007325254588693e-05,-1.2243856902571792e-05,-7.927459272005777e-05
0.23005246,-8.069630422236074e-05,-1.570682995779623,-3.7351836876808875e-06,8.007325254588693e-05,-1.2243856902571792e-05,-7.92745927227223e-05
0.239968287,-8.069630422236074e-05,-1.570682995779622,-3.7351836894572443e-06,8.007325254588693e-05,-1.2243856901683614e-05,-7.927459272094595e-05
0.250121664,-8.06963042241371e-05,-1.570682995779623,-3.7351836894572443e-06,8.007325254677511e-05,-1.2243856903459971e-05,-7.92745927227223e-05
